artifact_id,source_release_id,source_release_sha256,sequence,comparison_id,pair_id,pair_label,metric_id,metric_label,first_company,first_ticker,first_value,first_tier,first_period_ended,first_accepted_at,first_accession,first_evidence_sha256,second_company,second_ticker,second_value,second_tier,second_period_ended,second_accepted_at,second_accession,second_evidence_sha256,difference_convention,difference_ratio,difference_percentage_points,absolute_difference_percentage_points
ai-infrastructure-peer-pair-evidence-note-2026-q2-v1,ai-infrastructure-cross-section-2026-09-01-v2,430406a8dbea1c21e7ca0ce09f829580616f33b0552ce0089e4b977d01cbc809,1,compute:revenueGrowth:nvda-minus-amd,compute,Compute accelerators,revenueGrowth,Quarterly revenue growth,NVIDIA Corporation,NVDA,1.0585114348672526,A,2026-07-26,2026-08-26T20:36:00.000Z,0001045810-26-000075,ef340a04d5c688fc508ba1478ea70506983a7b70837868d6f19d9388aac0d7a0,"Advanced Micro Devices, Inc.",AMD,0.5011060507482108,A,2026-06-27,2026-08-04T21:40:01.000Z,0000002488-26-000123,8eb7e8340f3f0a51bbd0e579eb4359f36cab826da078308d71ac195b82dd5df8,NVDA minus AMD,0.5574053841190418,55.74053841190418,55.74053841190418
ai-infrastructure-peer-pair-evidence-note-2026-q2-v1,ai-infrastructure-cross-section-2026-09-01-v2,430406a8dbea1c21e7ca0ce09f829580616f33b0552ce0089e4b977d01cbc809,2,compute:grossMargin:nvda-minus-amd,compute,Compute accelerators,grossMargin,Quarterly gross margin,NVIDIA Corporation,NVDA,0.7497531723844068,A,2026-07-26,2026-08-26T20:36:00.000Z,0001045810-26-000075,a666216442e065e2dbb7bf58ad4bd9670fa543873081c1cff4e5a8d8084a972c,"Advanced Micro Devices, Inc.",AMD,0.5377080443828016,A,2026-06-27,2026-08-04T21:40:01.000Z,0000002488-26-000123,f1f0c1ce3bddc7835febef29b903f0e9e996dd1d1a14612832bcf3d777cbc30f,NVDA minus AMD,0.21204512800160513,21.204512800160515,21.204512800160515
ai-infrastructure-peer-pair-evidence-note-2026-q2-v1,ai-infrastructure-cross-section-2026-09-01-v2,430406a8dbea1c21e7ca0ce09f829580616f33b0552ce0089e4b977d01cbc809,3,compute:rdIntensity:nvda-minus-amd,compute,Compute accelerators,rdIntensity,Quarterly R&D intensity,NVIDIA Corporation,NVDA,0.07331040001662839,A,2026-07-26,2026-08-26T20:36:00.000Z,0001045810-26-000075,86ef0a55ef99d23b851514dc0b116e6b7eb7366d5d9989c2a35479b08f0be689,"Advanced Micro Devices, Inc.",AMD,0.21914008321775313,A,2026-06-27,2026-08-04T21:40:01.000Z,0000002488-26-000123,3a5d008e020286d5042f7c67f2605c676437c5a899aaef8e3daa820d70c3ac52,NVDA minus AMD,-0.14582968320112474,-14.582968320112474,14.582968320112474
ai-infrastructure-peer-pair-evidence-note-2026-q2-v1,ai-infrastructure-cross-section-2026-09-01-v2,430406a8dbea1c21e7ca0ce09f829580616f33b0552ce0089e4b977d01cbc809,4,compute:dilutedShareChange:nvda-minus-amd,compute,Compute accelerators,dilutedShareChange,Diluted share change,NVIDIA Corporation,NVDA,-0.010068481982716482,A,2026-07-26,2026-08-26T20:36:00.000Z,0001045810-26-000075,5635b21939a1ff7f9c3e58b34cf515d1a0d4c82e1ba9ff2dee9667c18bad4aa0,"Advanced Micro Devices, Inc.",AMD,0.017791411042944683,A,2026-06-27,2026-08-04T21:40:01.000Z,0000002488-26-000123,505e129d286d3fa92bf18c4e75ffabdc545837dbb808d8986bb4f5ac3ab7cf4b,NVDA minus AMD,-0.027859893025661164,-2.7859893025661164,2.7859893025661164
ai-infrastructure-peer-pair-evidence-note-2026-q2-v1,ai-infrastructure-cross-section-2026-09-01-v2,430406a8dbea1c21e7ca0ce09f829580616f33b0552ce0089e4b977d01cbc809,5,networking:revenueGrowth:anet-minus-mrvl,networking,Networking and interconnect,revenueGrowth,Quarterly revenue growth,"Arista Networks, Inc.",ANET,0.3768595791001452,A,2026-06-30,2026-08-04T22:08:09.000Z,0001596532-26-000175,4c4505c0e8910c818864c09d6b464b94dec68e20f47f9787d9ccd830da31d94c,"Marvell Technology, Inc.",MRVL,0.3654852699267235,A,2026-08-01,2026-08-28T20:04:02.000Z,0001835632-26-000025,09631a4a369cfca4c6e701b4ef5f6cb92286aa1f51274d95b3fd19c01e99ffec,ANET minus MRVL,0.011374309173421748,1.1374309173421748,1.1374309173421748
ai-infrastructure-peer-pair-evidence-note-2026-q2-v1,ai-infrastructure-cross-section-2026-09-01-v2,430406a8dbea1c21e7ca0ce09f829580616f33b0552ce0089e4b977d01cbc809,6,networking:grossMargin:anet-minus-mrvl,networking,Networking and interconnect,grossMargin,Quarterly gross margin,"Arista Networks, Inc.",ANET,0.6292782554270844,A,2026-06-30,2026-08-04T22:08:09.000Z,0001596532-26-000175,d5713bd07647d988f2bd219ec350b78553663dd9da316c3399b31b674e388434,"Marvell Technology, Inc.",MRVL,0.5313766290658197,A,2026-08-01,2026-08-28T20:04:02.000Z,0001835632-26-000025,11b8db9b8e0582068a693ff3d608166eb034dbb1ece03464dd2566b4b13a1072,ANET minus MRVL,0.09790162636126465,9.790162636126464,9.790162636126464
ai-infrastructure-peer-pair-evidence-note-2026-q2-v1,ai-infrastructure-cross-section-2026-09-01-v2,430406a8dbea1c21e7ca0ce09f829580616f33b0552ce0089e4b977d01cbc809,7,networking:rdIntensity:anet-minus-mrvl,networking,Networking and interconnect,rdIntensity,Quarterly R&D intensity,"Arista Networks, Inc.",ANET,0.11470171624337056,A,2026-06-30,2026-08-04T22:08:09.000Z,0001596532-26-000175,d24cb0dbf992906dd2e3e1e3d6dfbbb296fd1141cdec0844a5471b278b89deb5,"Marvell Technology, Inc.",MRVL,0.27054356952506114,A,2026-08-01,2026-08-28T20:04:02.000Z,0001835632-26-000025,e25a00c75cdc4ad0d87ec1d958a7f03ec8843ff8f9fe2ebf8beb8bde5880a83d,ANET minus MRVL,-0.1558418532816906,-15.58418532816906,15.58418532816906
ai-infrastructure-peer-pair-evidence-note-2026-q2-v1,ai-infrastructure-cross-section-2026-09-01-v2,430406a8dbea1c21e7ca0ce09f829580616f33b0552ce0089e4b977d01cbc809,8,networking:dilutedShareChange:anet-minus-mrvl,networking,Networking and interconnect,dilutedShareChange,Diluted share change,"Arista Networks, Inc.",ANET,0.0037759597230961894,A,2026-06-30,2026-08-04T22:08:09.000Z,0001596532-26-000175,1be9d99bfba4686935e6b94fa3c93043ca6b0ba3ca49851c9b07169005725345,"Marvell Technology, Inc.",MRVL,0.05836397058823528,A,2026-08-01,2026-08-28T20:04:02.000Z,0001835632-26-000025,f5b6b37fff937f70c7d5bb5a37c74c9a7b1af13a13c541842a55af530d3c6050,ANET minus MRVL,-0.05458801086513909,-5.458801086513909,5.458801086513909
ai-infrastructure-peer-pair-evidence-note-2026-q2-v1,ai-infrastructure-cross-section-2026-09-01-v2,430406a8dbea1c21e7ca0ce09f829580616f33b0552ce0089e4b977d01cbc809,9,server-systems:revenueGrowth:smci-minus-dell,server-systems,Server systems,revenueGrowth,Quarterly revenue growth,"Super Micro Computer, Inc.",SMCI,0.931552702482286,A,2026-06-30,2026-08-31T14:21:23.000Z,0001375365-26-000022,16ebe5ea9dfef6fc4f00c752203cd5de53f4839636c0ae63ce5a22af29b77998,Dell Technologies Inc.,DELL,0.8753528958850201,A,2026-05-01,2026-06-09T20:11:41.000Z,0001571996-26-000030,e02f2bde168f78ee667589c68ca6401daa6da1be50cbae4bdd707942b19da597,SMCI minus DELL,0.05619980659726598,5.619980659726598,5.619980659726598
ai-infrastructure-peer-pair-evidence-note-2026-q2-v1,ai-infrastructure-cross-section-2026-09-01-v2,430406a8dbea1c21e7ca0ce09f829580616f33b0552ce0089e4b977d01cbc809,10,server-systems:grossMargin:smci-minus-dell,server-systems,Server systems,grossMargin,Quarterly gross margin,"Super Micro Computer, Inc.",SMCI,0.17470053581110484,A,2026-06-30,2026-08-31T14:21:23.000Z,0001375365-26-000022,282c8c43295261bade008555245e2720ae3201044f617c1744904e177b0bad63,Dell Technologies Inc.,DELL,0.1775010264130286,A,2026-05-01,2026-06-09T20:11:41.000Z,0001571996-26-000030,18c93e5b559cef37145204a44d1f2c96097be29bf948f7d8d4989c9a9e4dcc11,SMCI minus DELL,-0.0028004906019237497,-0.28004906019237497,0.28004906019237497
